title         = ASCII CSV version of worksheet 31, "Coal: Production" from the 2016 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2016/BP_2016_coal_production_ton.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2016/bp-statistical-review-of-world-energy-2016-workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes 

"YEAR","AU","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","CZ","DE","ES","GB","GR","HU","ID","IN","JP","KR","KZ","MN","MX","NZ","PK","PL","RO","RS","RU","TH","TR","UA","US","UZ","VE","VN","ZA","ZW"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1971,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1972,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1973,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1974,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1975,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1976,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1977,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1978,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1979,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1980,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1981,126.935,29.24,1139.908,778.147,1858.954,2.675,48.505,2053.382,101.853,1.683,135.965,980.867,1992.751,0.903,790.436,11.412,3912.335,5.689,40.088,621.6,3.99,117.72,492.8,35.676,127.469,27.32,25.95,0.4,130.1,17.69,19.87,"na",4.3,3.032,2.197,1.56,198.64,36.93,"na","na",1.71,21.006,"na",747.316,"na",0.05,6.0,130.42,2.87
1982,130.137,32.21,1185.569,777.977,1933.894,2.248,51.047,2116.688,109.24,1.566,149.198,1038.1,2042.905,1.015,806.981,12.383,4050.582,6.346,42.907,666.3,4.422,118.79,499.7,39.305,124.711,27.4,26.08,0.59,134.95,17.61,20.12,"na",4.921,3.751,2.244,1.77,226.96,37.86,"na","na",2.11,22.672,"na",760.322,"na",0.05,6.3,144.18,2.77
1983,133.683,32.39,1174.104,774.775,2002.19,2.079,51.916,2056.164,110.526,1.562,151.019,1098.136,2035.633,1.015,759.159,13.392,4058.354,6.737,44.807,714.5,5.053,123.04,476.5,39.953,119.254,30.59,25.22,0.65,142.9,17.06,19.86,"na",4.974,4.851,2.474,1.82,233.62,44.52,"na","na",2.0,25.245,"na",709.501,"na",0.04,6.3,145.61,3.33
1984,140.019,32.36,1143.158,761.911,2101.305,2.317,53.137,2154.192,117.072,1.791,168.337,1192.004,2002.619,1.038,875.503,15.997,4255.497,7.519,57.402,789.2,6.637,124.93,501.8,39.592,51.182,32.5,25.05,1.47,152.53,16.65,21.37,"na",5.431,5.335,2.527,2.31,241.97,44.28,"na","na",2.36,29.972,"na",812.766,"na",0.05,5.0,162.91,3.11
1985,166.607,30.88,1236.395,"na",2201.698,2.37,55.325,2276.117,155.261,1.815,179.0,1314.495,2096.671,1.106,868.002,18.541,4477.815,7.712,60.853,872.3,8.974,122.8,521.6,39.663,94.111,35.89,24.04,2.0,157.45,16.38,22.54,130.8,6.523,5.526,2.39,2.19,249.39,46.58,"na",409.252,5.19,39.997,191.107,801.623,5.3,0.04,5.6,173.52,3.11
1986,178.03,35.22,1261.416,"na",2274.914,2.452,54.801,2318.011,160.154,1.963,183.222,1362.131,2155.415,1.061,870.945,20.151,4592.925,7.391,57.048,894.0,10.737,123.06,513.218,38.323,108.099,38.1,23.13,2.59,169.18,16.01,24.25,137.5,7.065,6.217,2.518,2.05,259.34,47.52,"na",423.948,5.538,46.417,195.386,807.68,6.0,0.06,6.1,176.72,4.05
1987,187.601,36.82,1254.02,"na",2340.077,2.33,53.563,2343.244,153.871,2.228,183.71,1420.602,2152.355,1.083,901.625,23.946,4683.321,6.884,61.207,928.1,14.594,122.15,502.85,34.634,104.533,44.612,22.84,3.03,185.36,13.05,24.27,142.1,7.765,6.931,2.221,2.41,266.21,51.52,"na",424.087,6.931,46.988,194.14,833.487,5.0,0.24,6.3,176.55,4.83
1988,186.874,34.15,1244.432,"na",2435.193,2.334,52.547,2357.005,148.741,3.113,188.764,1483.46,2153.152,1.151,939.055,26.615,4792.197,7.331,70.643,979.9,15.101,119.8,498.325,31.909,104.066,48.323,20.88,4.49,196.98,11.23,24.3,143.1,8.606,6.346,2.438,2.7,266.51,58.75,"na",440.0,7.295,39.218,193.88,862.066,5.5,1.07,6.1,181.36,5.07
1989,201.689,34.3,1216.918,"na",2501.395,2.24,51.855,2378.24,155.008,3.052,183.63,1590.302,2107.11,0.858,967.0,30.735,4879.635,6.671,70.527,1054.2,18.902,114.06,482.749,36.578,99.82,51.866,20.03,8.7,215.29,10.19,20.79,138.4,8.045,6.771,2.713,2.72,249.45,61.34,"na",422.8,9.01,52.216,182.293,889.702,6.2,2.11,5.1,176.28,5.11
1990,211.671,31.675,1078.741,"na",2461.315,2.3,48.309,2307.717,147.632,3.115,182.58,1629.507,1916.656,1.138,1008.823,30.328,4769.033,4.595,68.332,1079.883,20.468,101.354,427.433,35.952,92.762,51.896,17.582,10.73,223.34,8.26,17.22,131.443,7.157,6.93,2.579,2.82,215.32,38.19,"na",405.194,12.438,47.428,166.295,933.562,6.5,2.15,5.1,174.78,5.5
1991,221.122,28.39,967.529,"na",2404.151,2.297,46.642,2183.729,131.651,3.103,186.307,1664.421,1724.155,1.194,981.081,30.722,4587.881,5.188,71.134,1087.406,20.031,96.185,346.382,33.52,94.202,52.695,16.97,13.84,239.9,8.05,15.06,130.382,7.037,6.406,2.689,2.83,209.79,32.42,"na",362.236,14.646,46.108,137.276,903.541,5.948,2.4,5.2,178.39,5.62
1992,231.832,30.324,906.496,"na",2439.678,2.311,41.277,2122.529,125.814,2.412,191.906,1718.072,1642.998,1.032,976.675,31.523,4562.207,4.731,65.613,1116.38,21.9,86.565,307.906,33.299,84.493,55.051,15.83,22.36,253.8,7.6,11.97,126.536,6.247,6.104,3.018,2.98,198.38,38.37,"na",349.004,15.409,51.431,135.315,904.958,4.68,2.48,5.2,184.046,5.55
1993,230.849,29.032,847.786,"na",2413.802,2.154,38.242,2013.665,110.108,2.047,195.658,1761.352,1503.29,1.533,933.319,32.315,4427.467,4.595,69.029,1150.67,21.713,85.181,280.67,31.565,68.199,54.817,12.59,27.58,263.19,7.22,9.44,111.88,5.617,6.615,3.337,3.15,198.58,39.776,"na",311.862,15.558,48.56,116.663,857.674,3.807,3.96,6.5,188.214,5.29
1994,236.387,28.757,804.499,"na",2451.911,2.261,35.764,2064.446,99.575,2.075,203.537,1864.508,1393.105,1.493,1019.402,34.314,4516.358,5.134,72.823,1239.901,22.665,76.944,259.664,29.491,49.785,56.672,13.91,32.87,270.86,6.93,7.44,104.625,5.158,8.999,3.033,3.02,200.7,40.569,"na",278.304,17.105,54.372,95.891,937.579,3.845,4.44,6.04,195.805,5.47
1995,248.135,30.83,793.923,"na",2577.471,2.251,33.267,2063.478,102.327,1.843,214.002,2023.519,1343.775,1.554,1020.968,37.132,4640.95,5.199,74.98,1360.731,25.74,74.332,246.684,28.464,53.037,57.662,12.24,41.84,289.02,6.26,5.72,83.271,5.019,8.889,3.577,3.17,200.72,41.126,"na",269.575,18.431,55.073,85.38,937.098,3.054,4.35,8.35,206.211,5.54
1996,256.985,31.302,787.443,"na",2618.549,2.01,29.377,2094.904,99.056,1.773,213.542,2099.494,1307.97,1.441,1050.684,40.322,4713.453,4.805,75.879,1396.699,29.564,76.223,235.759,27.37,50.197,59.781,15.07,50.35,310.96,6.48,4.95,76.831,5.11,9.69,3.611,3.46,201.72,41.872,"na",262.052,21.69,56.364,71.536,965.114,2.837,4.18,9.823,206.362,5.17
1997,281.02,29.708,758.243,"na",2632.106,1.903,28.88,2126.723,106.163,1.683,227.275,2126.88,1280.911,1.448,1076.954,45.362,4758.829,5.647,78.76,1387.531,32.742,73.515,223.562,26.467,48.495,58.844,15.56,54.82,319.39,4.27,4.51,72.647,4.924,9.424,3.567,3.14,200.93,33.81,"na",250.617,23.439,59.929,77.717,988.77,2.946,5.29,11.388,220.072,5.3
1998,290.749,30.111,687.389,"na",2563.723,2.233,26.425,2100.365,97.206,0.538,230.68,2083.542,1202.904,1.701,1099.186,46.075,4664.089,5.516,75.268,1332.029,33.561,67.529,207.293,26.075,41.177,60.884,14.49,62.23,320.918,3.66,4.36,69.773,5.057,10.107,3.126,3.32,178.55,26.234,"na",235.384,19.996,67.383,77.863,1013.811,2.953,6.46,11.672,222.977,5.47
1999,305.832,25.298,660.26,"na",2593.212,2.104,29.756,2078.542,92.411,0.862,230.599,2135.461,1177.316,1.535,1080.978,45.866,4671.755,5.66,72.358,1363.997,32.754,59.133,201.095,24.258,37.077,62.051,14.55,73.68,314.415,3.91,4.2,58.378,4.964,10.326,3.506,3.31,172.73,22.891,"na",255.05,18.261,67.037,82.402,998.294,2.955,6.59,9.629,223.514,4.98
2000,313.918,26.432,653.329,"na",2684.229,1.891,32.23,2041.357,92.688,0.777,230.5,2190.716,1194.713,1.538,1054.413,53.705,4725.586,6.806,69.104,1384.185,38.242,65.162,201.572,23.486,31.198,63.887,13.98,77.04,334.797,3.13,4.15,74.872,5.185,11.344,3.457,3.23,162.82,29.289,"na",262.082,17.786,63.268,81.477,973.964,2.501,7.88,11.609,224.199,4.41
2001,335.482,26.321,662.671,"na",2825.356,1.88,32.865,2116.586,94.056,0.774,229.952,2326.631,1223.44,1.529,1102.361,58.029,4941.941,5.654,70.481,1471.526,43.911,66.106,203.015,22.684,31.93,66.344,13.91,92.54,341.88,3.2,3.82,79.077,5.141,8.857,3.911,3.26,163.54,33.304,"na",274.001,19.607,62.096,84.345,1023.022,2.711,7.69,13.397,223.56,4.511
2002,343.248,25.717,662.781,"na",2901.787,2.081,32.01,2082.662,97.458,0.57,226.232,2441.287,1195.347,1.49,1066.795,53.299,4984.449,5.144,66.998,1550.4,39.484,63.356,208.416,22.035,29.989,70.468,13.03,103.329,358.107,1.369,3.32,73.73,5.544,7.08,4.459,3.49,161.92,30.424,"na",258.913,19.602,53.984,83.166,992.717,2.74,8.1,16.409,220.212,3.938
2003,351.054,27.194,663.892,"na",3278.681,2.381,32.976,2060.732,103.486,0.453,243.956,2765.539,1222.173,1.58,1044.007,62.157,5339.412,4.646,62.58,1834.899,50.028,63.906,205.228,20.548,28.279,68.299,13.3,114.278,375.352,1.338,3.3,84.906,5.666,9.15,5.18,3.339,163.79,33.079,"na",278.746,18.843,48.563,80.938,972.278,1.912,7.03,19.314,238.751,2.824
2004,363.15,26.424,648.795,"na",3648.048,2.008,35.485,2100.615,95.519,0.309,248.627,3128.937,1214.412,1.663,1087.314,67.71,5748.663,5.406,66.206,2122.611,53.888,61.8,208.036,20.496,25.096,70.041,11.489,132.352,407.988,1.339,3.19,86.875,6.865,12.228,5.155,3.394,161.284,31.8,"na",284.399,20.06,46.377,81.995,1008.879,2.781,8.107,27.349,242.822,3.798
2005,378.762,24.621,635.884,"na",3964.489,1.788,39.188,2138.907,100.406,0.799,250.144,3440.008,1229.768,1.985,1107.566,73.924,6103.396,6.255,68.431,2365.146,59.675,62.026,203.072,19.354,20.498,69.398,9.57,152.722,429.023,1.114,2.81,86.586,7.517,12.657,5.267,3.487,159.54,31.191,"na",299.971,20.878,60.766,79.601,1026.478,3.168,7.195,34.093,244.986,3.371
2006,386.707,25.489,627.406,"na",4269.013,1.942,39.521,2167.605,106.176,0.865,248.824,3719.177,1250.064,2.103,1136.35,80.101,6436.618,5.881,67.411,2569.731,66.192,62.903,197.406,18.399,18.517,64.787,9.952,193.761,449.671,1.36,2.824,96.159,8.074,14.11,5.674,4.006,156.065,34.932,"na",311.371,19.071,64.255,80.834,1054.829,2.819,7.164,38.778,244.775,2.107
2007,396.424,28.33,616.878,"na",4525.19,1.534,36.588,2162.756,63.391,0.505,251.28,3971.707,1255.241,2.094,1124.396,83.227,6687.946,5.965,68.954,2759.891,69.902,62.626,201.94,17.18,17.007,66.308,9.818,216.947,479.06,1.423,2.886,97.829,9.238,15.232,4.835,3.694,145.85,35.769,37.658,315.571,18.239,75.365,77.157,1040.21,3.442,6.855,42.483,247.666,2.08
2008,408.395,28.777,596.913,"na",4772.215,1.57,38.985,2178.931,67.087,0.829,255.293,4187.16,1274.818,2.017,1145.863,85.996,6951.146,6.611,68.396,2903.406,73.502,60.2,192.484,10.203,18.053,65.72,9.404,240.25,515.37,1.228,2.773,111.072,10.072,14.42,4.832,3.978,144.013,35.862,39.187,330.182,18.095,79.402,79.882,1063.047,3.289,5.054,39.777,252.213,1.509
2009,420.959,27.213,572.907,"na",4995.129,1.414,41.468,2076.685,68.905,0.859,250.902,4478.709,1206.115,1.596,1052.486,82.007,7071.814,5.061,64.638,3115.354,72.807,56.417,183.623,9.445,17.874,64.893,8.986,256.181,556.787,1.281,2.519,100.854,14.442,12.694,4.563,3.51,135.172,33.959,38.814,302.382,17.566,79.498,74.426,975.154,3.654,3.278,44.078,247.821,1.667
2010,433.363,29.331,562.316,"na",5397.491,1.869,43.674,2086.864,71.561,0.772,259.059,4852.882,1220.758,1.521,1066.966,83.168,7484.355,5.415,67.974,3428.447,74.35,55.124,182.303,8.43,18.347,56.52,9.113,275.164,572.28,0.917,2.084,110.93,25.162,15.271,5.331,3.367,133.238,31.126,37.864,322.92,18.258,73.399,77.253,983.722,3.299,2.631,44.835,254.522,2.668
2011,420.846,37.102,589.357,"na",5872.173,2.263,43.286,2105.317,74.154,0.904,257.581,5257.104,1285.399,1.58,1081.003,94.823,7977.49,5.505,67.45,3764.435,85.803,57.815,188.561,6.621,18.552,58.666,9.555,353.271,563.77,1.272,2.084,116.45,32.03,19.616,4.945,3.227,139.289,35.478,40.778,337.4,21.327,75.978,85.156,993.937,3.844,2.611,46.611,252.757,2.562
2012,444.94,33.423,589.748,"na",6150.282,7.349,43.96,2054.411,67.408,0.997,267.519,5527.305,1304.726,1.467,1004.954,98.723,8204.693,6.617,67.633,3945.128,89.199,54.506,196.202,6.181,16.967,62.956,9.29,385.899,605.616,1.321,2.094,120.527,29.926,15.205,4.926,3.345,144.093,33.904,38.172,358.3,18.066,71.461,87.3,922.116,4.036,1.911,42.083,258.576,1.594
2013,470.808,28.622,558.019,"na",6229.547,8.798,49.889,2025.322,76.28,3.17,268.475,5652.563,1257.15,1.45,976.742,98.49,8254.869,8.594,68.675,3974.322,85.496,49.195,190.561,4.368,12.767,53.924,9.558,449.08,608.535,1.204,1.815,119.574,30.123,14.633,4.625,2.986,142.906,24.675,40.254,355.231,18.111,60.392,84.752,893.433,4.09,1.229,41.064,256.563,3.114
2014,503.153,31.259,539.063,"na",6150.369,9.537,49.349,2055.608,72.869,4.478,276.844,5627.977,1208.135,1.45,989.777,101.793,8205.977,7.936,67.671,3873.919,88.578,46.689,185.84,3.909,11.648,50.845,9.551,458.097,648.059,1.308,1.748,113.985,25.288,14.877,3.968,3.41,137.148,23.487,29.82,357.397,17.982,65.249,64.043,907.229,4.397,0.801,41.697,261.524,5.783
2015,484.523,35.863,528.137,"na",5965.076,9.513,48.588,1896.019,65.675,3.217,265.771,5440.412,1168.066,1.45,887.894,97.502,7861.094,7.936,60.707,3747.0,85.548,46.185,184.323,3.058,8.526,47.742,9.212,392.0,677.459,1.171,1.764,106.482,24.498,14.408,3.408,3.332,135.523,25.454,38.141,373.3,15.151,46.175,38.455,812.779,3.953,0.802,41.518,252.1,4.158
